cable_key,length_km,importance_tier,risk_tier,material,reliability_tier,baseline_cost,optimized_cost
id-2africa,45000.0,8,10,"CFRP, epoxy matrix (isotropic)",10,14400.000000000004,3599.9999999999995
id-5-villages-6-islands,355.0,5,7,"GFRP, epoxy matrix (isotropic)",7,49.699999999999996,37.275000000000006
id-acs-alaska-oregon-network-akorn,3000.0,7,3,Stainless steel (duplex grades),6,251.99999999999997,251.99999999999997
id-aden-djibouti,269.0,7,7,Nickel‑based superalloys,8,52.724,26.36199999999999
id-adria-1,440.0,5,9,Nickel‑based superalloys,8,79.2,39.599999999999994
id-aec-1,5521.0,4,4,Commercially pure titanium,5,353.3440000000001,441.68000000000006
id-africa-1,10000.0,8,10,"CFRP, epoxy matrix (isotropic)",10,3200.0000000000005,799.9999999999999
id-africa-coast-to-europe-ace,17000.0,7,10,Titanium alloys,9,4759.999999999999,1189.9999999999995
id-airraq,680.0,1,1,Silica glass,2,2.7200000000000006,5.440000000000001
id-alaska-united-east-au-east,3751.0,7,6,"GFRP, epoxy matrix (isotropic)",7,630.1679999999999,472.626
id-alaska-united-southeast-au-se,626.0,9,7,Titanium alloys,9,157.752,39.43799999999999
id-alaska-united-turnagain-arm-auta,53.0,1,1,Silica glass,2,0.21200000000000005,0.4240000000000001
id-alaska-united-west-au-west,2485.0,10,1,Stainless steel (duplex grades),6,99.40000000000002,99.40000000000002
id-alba-1,1860.0,5,8,"GFRP, epoxy matrix (isotropic)",7,297.6000000000001,223.20000000000005
id-aletar,787.0,6,4,Stainless steel (duplex grades),6,75.552,75.552
id-almera-melilla-alme,198.0,2,3,Zirconia,3,4.752,8.316
id-alonso-de-ojeda,128.0,6,1,Cast magnesium alloys,4,3.0720000000000005,4.608
id-alpal-2,312.0,2,8,Stainless steel (duplex grades),6,19.968000000000004,19.968000000000004
id-america-movil-submarine-cable-system-1-amx-1,17800.0,8,10,"CFRP, epoxy matrix (isotropic)",10,5696.000000000001,1423.9999999999998
id-american-1,140.0,3,7,Stainless steel (duplex grades),6,11.759999999999998,11.759999999999998
id-americas-i-north,2012.0,7,1,Commercially pure titanium,5,56.336000000000006,70.41999999999999
id-americas-ii,8373.0,9,10,"CFRP, epoxy matrix (isotropic)",10,3014.28,753.5699999999998
id-amerigo-vespucci,85.0,6,1,Cast magnesium alloys,4,2.0400000000000005,3.0599999999999996
id-amitie,6792.0,10,4,Nickel‑based superalloys,8,1086.7200000000003,543.3599999999999
id-andromeda,734.5,7,8,Nickel‑based superalloys,8,164.52800000000002,82.26399999999998
id-anjana,7121.0,9,1,Stainless steel (duplex grades),6,256.35600000000005,256.35600000000005
id-antillas-1,650.0,5,10,Nickel‑based superalloys,8,130.0,64.99999999999999
id-apcn-2,19000.0,9,10,"CFRP, epoxy matrix (isotropic)",10,6840.000000000001,1709.9999999999998
id-apocs-1,734.5,1,1,Silica glass,2,2.9380000000000006,5.876000000000001
id-apocs-2,734.5,1,1,Silica glass,2,2.9380000000000006,5.876000000000001
id-apollo,13000.0,10,8,"CFRP, epoxy matrix (isotropic)",10,4160.000000000001,1039.9999999999998
id-apollo-east-and-west,670.0,4,8,"GFRP, epoxy matrix (isotropic)",7,85.76000000000002,64.32000000000002
